id,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
1,MSFT,Microsoft,Information Technology,Redmond,Washington,2024-05-17,422,420,-0.55,15334200,$3.12 T
2,AAPL,Apple Inc.,Information Technology,Cupertino,California,2024-05-17,189,189,0.19,41260800,$2.91 T
3,NVDA,Nvidia,Information Technology,Santa Clara,California,2024-05-17,943,924,-2.0,34651900,$2.27 T
4,GOOGL,Alphabet Inc. (Class A),Communication Services,Mountain View,California,2024-05-17,174,176,1.08,22235500,$2.18 T
5,GOOG,Alphabet Inc. (Class C),Communication Services,Mountain View,California,2024-05-17,175,177,0.99,16502700,$2.18 T
6,AMZN,Amazon,Consumer Discretionary,Seattle,Washington,2024-05-17,183,184,0.51,31813700,$1.92 T
7,META,Meta Platforms,Communication Services,Menlo Park,California,2024-05-17,470,471,0.23,9979600,$1.20 T
8,BRK-B,Berkshire Hathaway,Financials,Omaha,Nebraska,2024-05-17,413,416,0.72,2988700,$900.82 B
9,LLY,Eli Lilly and Company,Health Care,Indianapolis,Indiana,2024-05-17,772,770,-0.37,1669000,$731.81 B
10,AVGO,Broadcom Inc.,Information Technology,Palo Alto,California,2024-05-17,1412,1395,-1.21,1814900,$646.61 B
11,JPM,JPMorgan Chase,Financials,New York City,New York,2024-05-17,203,204,0.48,9259400,$588.09 B
12,V,Visa Inc.,Financials,San Francisco,California,2024-05-17,280,280,0.02,6127500,$573.11 B
13,TSLA,"Tesla, Inc.",Consumer Discretionary,Austin,Texas,2024-05-17,173,177,2.25,76627600,$565.96 B
14,XOM,ExxonMobil,Energy,Irving,Texas,2024-05-17,118,119,1.13,15103100,$536.70 B
15,WMT,Walmart,Consumer Staples,Bentonville,Arkansas,2024-05-17,64,64,0.64,29327000,$521.07 B
16,UNH,UnitedHealth Group,Health Care,Minnetonka,Minnesota,2024-05-17,522,524,0.32,2657200,$482.86 B
17,MA,Mastercard,Financials,Harrison,New York,2024-05-17,460,460,-0.04,1983300,$427.87 B
18,PG,Procter & Gamble,Consumer Staples,Cincinnati,Ohio,2024-05-17,167,167,-0.02,4700800,$395.65 B
19,JNJ,Johnson & Johnson,Health Care,New Brunswick,New Jersey,2024-05-17,154,154,-0.14,6512200,$372.17 B
20,COST,Costco,Consumer Staples,Issaquah,Washington,2024-05-17,793,795,0.28,1308500,$352.94 B
21,HD,Home Depot (The),Consumer Discretionary,Atlanta,Georgia,2024-05-17,344,344,-0.16,2738400,$341.12 B
22,ORCL,Oracle Corporation,Information Technology,Austin,Texas,2024-05-17,123,123,0.26,6177900,$339.44 B
23,MRK,Merck & Co.,Health Care,Kenilworth,New Jersey,2024-05-17,130,131,0.38,8281600,$332.28 B
24,BAC,Bank of America,Financials,Charlotte,North Carolina,2024-05-17,39,39,-0.41,25531500,$307.26 B
25,CVX,Chevron Corporation,Energy,San Ramon,California,2024-05-17,161,162,0.57,5497500,$299.80 B
26,ABBV,AbbVie,Health Care,North Chicago,Illinois,2024-05-17,165,166,0.62,4976200,$293.88 B
27,CRM,Salesforce,Information Technology,San Francisco,California,2024-05-17,287,285,-0.5,3476800,$277.40 B
28,KO,Coca-Cola Company (The),Consumer Staples,Atlanta,Georgia,2024-05-17,63,63,-0.49,11534300,$271.53 B
29,NFLX,Netflix,Communication Services,Los Gatos,California,2024-05-17,617,621,0.66,3655500,$267.63 B
30,AMD,Advanced Micro Devices,Information Technology,Santa Clara,California,2024-05-17,168,164,-2.35,65893100,$265.82 B
31,PEP,PepsiCo,Consumer Staples,Purchase,New York,2024-05-17,182,182,-0.22,4443500,$250.47 B
32,TMO,Thermo Fisher Scientific,Health Care,Waltham,Massachusetts,2024-05-17,596,595,-0.28,1398400,$227.24 B
33,ADBE,Adobe Inc.,Information Technology,San Jose,California,2024-05-17,483,483,0.02,2260900,$216.58 B
34,QCOM,Qualcomm,Information Technology,San Diego,California,2024-05-17,192,193,0.5,5798000,$216.35 B
35,WFC,Wells Fargo,Financials,San Francisco,California,2024-05-17,61,61,-0.54,15795800,$212.94 B
36,LIN,Linde plc,Materials,Guildford,United Kingdom,2024-05-17,430,432,0.51,1150700,$207.92 B
37,DHR,Danaher Corporation,Health Care,Washington,D.C.,2024-05-17,265,265,0.29,3187400,$196.87 B
38,MCD,McDonald's,Consumer Discretionary,Chicago,Illinois,2024-05-17,274,272,-0.61,2454500,$196.30 B
39,CSCO,Cisco,Information Technology,San Jose,California,2024-05-17,48,48,-0.19,21990500,$195.05 B
40,TMUS,T-Mobile US,Communication Services,Bellevue,Washington,2024-05-17,163,164,0.55,2904700,$192.18 B
41,ACN,Accenture,Information Technology,Dublin,Ireland,2024-05-17,309,303,-1.99,4229200,$190.88 B
42,DIS,Walt Disney Company (The),Communication Services,Burbank,California,2024-05-17,103,103,-0.37,7349100,$188.23 B
43,INTU,Intuit,Information Technology,Mountain View,California,2024-05-17,655,661,0.9,774700,$185.12 B
44,ABT,Abbott,Health Care,North Chicago,Illinois,2024-05-17,104,104,-0.31,7004300,$181.08 B
45,TXN,Texas Instruments,Information Technology,Dallas,Texas,2024-05-17,195,195,0.01,4533900,$177.56 B
46,AMAT,Applied Materials,Information Technology,Santa Clara,California,2024-05-17,216,212,-2.0,8025500,$176.22 B
47,GE,GE Aerospace,Industrials,Evendale,Ohio,2024-05-17,161,159,-1.19,5945500,$175.02 B
48,AXP,American Express,Financials,New York City,New York,2024-05-17,242,242,0.01,1848700,$174.66 B
49,CAT,Caterpillar Inc.,Industrials,Irving,Texas,2024-05-17,352,356,0.93,2104300,$174.23 B
50,VZ,Verizon,Communication Services,New York City,New York,2024-05-17,40,40,-0.82,14666700,$168.62 B
51,AMGN,Amgen,Health Care,Thousand Oaks,California,2024-05-17,315,312,-0.89,1973600,$167.62 B
52,MS,Morgan Stanley,Financials,New York City,New York,2024-05-17,99,100,0.32,4690500,$162.87 B
53,PFE,Pfizer,Health Care,New York City,New York,2024-05-17,28,28,-0.9,26078600,$162.29 B
54,NOW,ServiceNow,Information Technology,Santa Clara,California,2024-05-17,765,765,0.01,875000,$157.13 B
55,NEE,NextEra Energy,Utilities,Juno Beach,Florida,2024-05-17,76,76,-0.34,9489900,$156.33 B
56,IBM,IBM,Information Technology,Armonk,New York,2024-05-17,168,169,0.04,2954100,$155.27 B
57,PM,Philip Morris International,Consumer Staples,New York City,New York,2024-05-17,100,99,-1.1,5239600,$155.19 B
58,CMCSA,Comcast,Communication Services,Philadelphia,Pennsylvania,2024-05-17,39,39,-0.03,13732600,$154.08 B
59,BX,Blackstone,Financials,New York City,New York,2024-05-17,128,125,-2.28,3935900,$151.94 B
