Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
1,AAPL,Apple Inc.,Information Technology,"Cupertino, California",2023-12-22,196,196,0.17313150861887033,37606421,56404192,$3.07 T
2,MSFT,Microsoft,Information Technology,"Redmond, Washington",2023-12-22,371,373,0.493889018665461,17605696,29335848,$2.79 T
3,GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",2023-12-22,136,137,1.1348042501054636,28050140,33717434,$1.77 T
4,GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",2023-12-22,137,139,1.2263781034545886,21174841,26687330,$1.77 T
5,AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",2023-12-22,152,154,0.9271415960748464,42148338,50890751,$1.59 T
6,NVDA,Nvidia,Information Technology,"Santa Clara, California",2023-12-22,494,498,0.6721763927921592,34562679,39328715,$1.23 T
7,META,Meta Platforms,Communication Services,"Menlo Park, California",2023-12-22,343,349,1.5042976361780807,14701249,17635303,$904.82 B
8,TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas",2023-12-22,254,255,0.17655693966799405,93690642,115507883,$813.85 B
9,BRK-B,Berkshire Hathaway,Financials,"Omaha, Nebraska",2023-12-22,359,360,0.2085090221979472,2925553,3734215,$786.93 B
10,LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",2023-12-22,577,579,0.2775247362831894,2084695,3101586,$548.43 B
11,V,Visa Inc.,Financials,"San Francisco, California",2023-12-22,259,259,0.09770757002768204,5505937,5709288,$535.01 B
12,AVGO,Broadcom Inc.,Information Technology,"Palo Alto, California",2023-12-22,1131,1139,0.6670564671992409,3325677,5557132,$529.09 B
13,JPM,JPMorgan Chase,Financials,"New York City, New York",2023-12-22,166,168,0.8221450504000019,7312241,9936012,$489.58 B
14,UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota",2023-12-22,525,524,-0.2402484290087432,2744622,3392735,$483.99 B
