Rank,Ticker,Company,Sector,City,State,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Market_Cap
1,MSFT,Microsoft,Information Technology,Redmond,Washington,2024-03-01,411,415,1.08,17596713,$3.09 T
2,AAPL,Apple Inc.,Information Technology,Cupertino,California,2024-03-01,179,179,-0.01,72176475,$2.77 T
3,NVDA,Nvidia,Information Technology,Santa Clara,California,2024-03-01,800,822,2.8,47191884,$2.06 T
4,AMZN,Amazon,Consumer Discretionary,Seattle,Washington,2024-03-01,176,178,0.87,31925720,$1.85 T
5,GOOGL,Alphabet Inc. (Class A),Communication Services,Mountain View,California,2024-03-01,138,137,-0.94,30280572,$1.71 T
6,GOOG,Alphabet Inc. (Class C),Communication Services,Mountain View,California,2024-03-01,139,138,-1.02,28445474,$1.71 T
7,META,Meta Platforms,Communication Services,Menlo Park,California,2024-03-01,492,502,2.06,15722021,$1.28 T
8,BRK-B,Berkshire Hathaway,Financials,Omaha,Nebraska,2024-03-01,409,407,-0.58,3233671,$881.04 B
9,LLY,Eli Lilly and Company,Health Care,Indianapolis,Indiana,2024-03-01,769,782,1.7,3789730,$743.14 B
10,AVGO,Broadcom Inc.,Information Technology,Palo Alto,California,2024-03-01,1325,1399,5.52,4390297,$648.40 B
11,TSLA,"Tesla, Inc.",Consumer Discretionary,Austin,Texas,2024-03-01,200,202,1.03,81821895,$645.37 B
12,V,Visa Inc.,Financials,San Francisco,California,2024-03-01,283,283,-0.01,3955213,$581.63 B
13,JPM,JPMorgan Chase,Financials,New York City,New York,2024-03-01,185,185,-0.22,4623076,$533.70 B
14,WMT,Walmart,Consumer Staples,Bentonville,Arkansas,2024-03-01,58,58,-0.07,16384863,$473.18 B
15,UNH,UnitedHealth Group,Health Care,Minnetonka,Minnesota,2024-03-01,489,489,0.02,7120380,$452.78 B
16,MA,Mastercard,Financials,Harrison,New York,2024-03-01,474,476,0.36,1395289,$444.64 B
17,XOM,ExxonMobil,Energy,Irving,Texas,2024-03-01,105,105,0.11,16487281,$420.29 B
18,JNJ,Johnson & Johnson,Health Care,New Brunswick,New Jersey,2024-03-01,161,162,0.18,4566277,$390.51 B
19,HD,Home Depot (The),Consumer Discretionary,Atlanta,Georgia,2024-03-01,380,384,1.08,2749569,$382.63 B
20,PG,Procter & Gamble,Consumer Staples,Cincinnati,Ohio,2024-03-01,158,158,0.51,4816258,$373.78 B
21,COST,Costco,Consumer Staples,Issaquah,Washington,2024-03-01,740,749,1.23,1670177,$332.55 B
22,AMD,Advanced Micro Devices,Information Technology,Santa Clara,California,2024-03-01,197,202,2.43,103040478,$327.42 B
23,MRK,Merck & Co.,Health Care,Kenilworth,New Jersey,2024-03-01,126,126,0.07,4210903,$321.54 B
24,ABBV,AbbVie,Health Care,North Chicago,Illinois,2024-03-01,176,178,1.62,3991075,$316.04 B
25,ORCL,Oracle Corporation,Information Technology,Austin,Texas,2024-03-01,111,113,1.88,6538023,$312.77 B
26,CRM,Salesforce,Information Technology,San Francisco,California,2024-03-01,307,316,3.22,9308118,$306.74 B
27,CVX,Chevron Corporation,Energy,San Ramon,California,2024-03-01,153,152,-0.16,7451399,$283.81 B
28,BAC,Bank of America,Financials,Charlotte,North Carolina,2024-03-01,34,34,-0.52,35884275,$270.43 B
29,NFLX,Netflix,Communication Services,Los Gatos,California,2024-03-01,599,619,3.26,4242394,$268.03 B
30,ADBE,Adobe Inc.,Information Technology,San Jose,California,2024-03-01,561,570,1.75,2900611,$258.06 B
31,KO,Coca-Cola Company (The),Consumer Staples,Atlanta,Georgia,2024-03-01,59,59,-0.62,10903911,$256.72 B
32,ACN,Accenture,Information Technology,Dublin,Ireland,2024-03-01,375,380,1.38,2100989,$238.88 B
33,PEP,PepsiCo,Consumer Staples,Purchase,New York,2024-03-01,164,164,-0.16,6108059,$226.22 B
34,TMO,Thermo Fisher Scientific,Health Care,Waltham,Massachusetts,2024-03-01,564,576,2.08,1440168,$219.76 B
35,LIN,Linde plc,Materials,Guildford,United Kingdom,2024-03-01,447,449,0.28,1641956,$217.82 B
36,MCD,McDonald's,Consumer Discretionary,Chicago,Illinois,2024-03-01,291,290,-0.23,3011357,$209.92 B
37,ABT,Abbott,Health Care,North Chicago,Illinois,2024-03-01,118,118,0.04,3881199,$205.83 B
38,DIS,Walt Disney,Communication Services,Burbank,California,2024-03-01,111,111,0.46,7218585,$205.35 B
39,WFC,Wells Fargo,Financials,San Francisco,California,2024-03-01,55,55,-0.61,15799948,$196.97 B
40,CSCO,Cisco,Information Technology,San Jose,California,2024-03-01,48,48,0.52,17007286,$195.98 B
41,TMUS,T-Mobile US,Communication Services,Bellevue,Washington,2024-03-01,162,163,0.42,3297203,$193.90 B
42,DHR,Danaher Corporation,Health Care,Washington,D.C.,2024-03-01,252,255,1.15,1906479,$189.27 B
43,INTU,Intuit,Information Technology,Mountain View,California,2024-03-01,659,666,1.13,996488,$186.61 B
44,INTC,Intel,Information Technology,Santa Clara,California,2024-03-01,43,43,0.94,41164576,$185.27 B
45,QCOM,Qualcomm,Information Technology,San Diego,California,2024-03-01,159,163,2.28,10344869,$182.01 B
46,AMAT,Applied Materials,Information Technology,Santa Clara,California,2024-03-01,203,210,3.19,7564271,$174.94 B
