Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
1,AAPL,Apple Inc.,Information Technology,"Cupertino, California",2023-12-22,196,196,0.1299852522112278,36928207,56256336,$3.06 T
2,MSFT,Microsoft,Information Technology,"Redmond, Washington",2023-12-22,371,373,0.38034439789929836,17149852,29236958,$2.78 T
3,GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",2023-12-22,136,137,1.1201148077797627,27430402,33586038,$1.77 T
4,GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",2023-12-22,137,139,1.214247034903272,20725046,26590816,$1.77 T
5,AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",2023-12-22,152,154,1.0297933314830559,41433274,50738670,$1.60 T
6,NVDA,Nvidia,Information Technology,"Santa Clara, California",2023-12-22,494,498,0.6792221204277675,34010740,39210759,$1.23 T
7,META,Meta Platforms,Communication Services,"Menlo Park, California",2023-12-22,343,349,1.5294994630265628,14440620,17579534,$905.82 B
8,TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas",2023-12-22,254,255,0.36599754271295065,90906223,114909710,$817.59 B
9,BRK-B,Berkshire Hathaway,Financials,"Omaha, Nebraska",2023-12-22,359,360,0.19460615825038471,2856229,3719470,$786.52 B
10,LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",2023-12-22,577,578,0.18694042007908795,2048668,3094003,$548.10 B
11,V,Visa Inc.,Financials,"San Francisco, California",2023-12-22,259,259,0.10156439616658215,5434744,5694085,$534.92 B
12,AVGO,Broadcom Inc.,Information Technology,"Palo Alto, California",2023-12-22,1131,1139,0.643684972527985,3289773,5549172,$529.17 B
13,JPM,JPMorgan Chase,Financials,"New York City, New York",2023-12-22,166,167,0.7531323844849818,7176914,9907573,$488.64 B
14,UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota",2023-12-22,525,524,-0.28113198268908235,2668550,3376335,$483.52 B
15,WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",2023-12-22,154,155,0.4745361285015035,6299640,9954779,$418.20 B
16,XOM,ExxonMobil,Energy,"Irving, Texas",2023-12-22,102,102,0.021130072485324832,15491266,24375346,$411.85 B
17,MA,Mastercard,Financials,"Harrison, New York",2023-12-22,422,425,0.565164313489181,1911127,2752092,$399.85 B
18,JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",2023-12-22,155,155,0.02740733981563757,5140746,8179922,$373.93 B
19,HD,Home Depot (The),Consumer Discretionary,"Atlanta, Georgia",2023-12-22,352,352,0.018463630606261834,3357707,4321022,$352.14 B
20,PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",2023-12-22,145,145,0.48000650428614844,5164478,7748966,$342.31 B
