Rank,Ticker,Company,Sector,Location,Date,Weekly_Open,Weekly_Close,Weekly_Percentage,Weekly_Volume,Monthly_Volume,Market_Cap
1,AAPL,Apple Inc.,Information Technology,"Cupertino, California",2023-12-22,196,195,-0.51,54117425,60907702,$3.05 T
2,MSFT,Microsoft,Information Technology,"Redmond, Washington",2023-12-22,369,372,0.81,20620176,31539414,$2.77 T
3,GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",2023-12-22,133,137,3.01,25357057,27952371,$1.71 T
4,GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",2023-12-22,132,135,2.27,32201666,35006497,$1.71 T
5,AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",2023-12-22,150,154,2.67,55127409,53426342,$1.59 T
6,NVDA,Nvidia,Information Technology,"Santa Clara, California",2023-12-22,494,500,1.21,40862366,40646055,$1.24 T
7,META,Meta Platforms,Communication Services,"Menlo Park, California",2023-12-22,337,344,2.08,18348949,18427495,$885.63 B
8,TSLA,"Tesla, Inc.",Consumer Discretionary,"Austin, Texas",2023-12-22,253,252,-0.4,115378203,120938308,$801.34 B
9,BRK-B,Berkshire Hathaway,Financials,"Omaha, Nebraska",2023-12-22,357,359,0.56,4106719,3967126,$784.61 B
10,LLY,Eli Lilly and Company,Health Care,"Indianapolis, Indiana",2023-12-22,576,579,0.52,3033126,3350052,$550.37 B
11,AVGO,Broadcom Inc.,Information Technology,"Palo Alto, California",2023-12-22,1120,1147,2.41,5423550,6103454,$536.96 B
12,V,Visa Inc.,Financials,"San Francisco, California",2023-12-22,258,258,0.0,5988852,5783212,$531.00 B
13,UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota",2023-12-22,529,526,-0.57,3137854,3533346,$487.02 B
14,JPM,JPMorgan Chase,Financials,"New York City, New York",2023-12-22,165,166,0.61,8067791,10435990,$480.57 B
15,WMT,Walmart,Consumer Staples,"Bentonville, Arkansas",2023-12-22,153,154,0.65,8412381,10738973,$417.21 B
16,XOM,ExxonMobil,Energy,"Irving, Texas",2023-12-22,102,101,-0.98,21204810,26331084,$406.27 B
17,MA,Mastercard,Financials,"Harrison, New York",2023-12-22,419,424,1.19,2686949,2956779,$398.02 B
18,JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",2023-12-22,155,155,0.0,6868592,8830099,$374.19 B
19,HD,Home Depot (The),Consumer Discretionary,"Atlanta, Georgia",2023-12-22,353,350,-0.85,4234325,4554368,$349.15 B
20,PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",2023-12-22,144,146,1.39,8368540,8445970,$344.51 B
21,COST,Costco,Consumer Staples,"Issaquah, Washington",2023-12-22,664,681,2.56,5660417,3010851,$302.33 B
22,ORCL,Oracle Corporation,Information Technology,"Austin, Texas",2023-12-22,103,105,1.94,13314285,17713507,$288.64 B
23,CVX,Chevron Corporation,Energy,"San Ramon, California",2023-12-22,150,149,-0.67,11538049,13727887,$282.56 B
24,ADBE,Adobe Inc.,Information Technology,"San Jose, California",2023-12-22,591,599,1.35,5144917,4362126,$272.78 B
25,ABBV,AbbVie,Health Care,"North Chicago, Illinois",2023-12-22,153,153,0.0,5102325,6676068,$270.87 B
26,MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",2023-12-22,106,106,0.0,9807016,10681959,$268.71 B
27,BAC,Bank of America,Financials,"Charlotte, North Carolina",2023-12-22,33,33,0.0,38803080,50314090,$264.56 B
28,KO,Coca-Cola Company (The),Consumer Staples,"Atlanta, Georgia",2023-12-22,58,59,1.72,16622203,18977558,$255.17 B
29,CRM,Salesforce,Information Technology,"San Francisco, California",2023-12-22,259,263,1.54,7338757,7760746,$255.16 B
30,PEP,PepsiCo,Consumer Staples,"Purchase, New York",2023-12-22,168,168,0.0,5044381,6412731,$232.23 B
31,AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California",2023-12-22,139,138,-0.72,45124224,71410943,$224.39 B
32,ACN,Accenture,Information Technology,"Dublin, Ireland",2023-12-22,342,341,-0.29,3189239,2169328,$214.51 B
33,NFLX,Netflix,Communication Services,"Los Gatos, California",2023-12-22,476,486,2.1,6370840,4788020,$212.76 B
34,MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",2023-12-22,288,290,0.69,2489480,3614523,$210.52 B
